REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSGTMXX01,2023,52694.444444444445
GLOBAL,LDSGTMXX01,2024,52694.444444444445
GLOBAL,LDSGTMXX01,2025,52694.444444444445
GLOBAL,LDSGTMXX01,2026,52694.444444444445
GLOBAL,LDSGTMXX01,2027,52694.444444444445
GLOBAL,LDSGTMXX01,2028,52694.444444444445
GLOBAL,LDSGTMXX01,2029,52694.444444444445
GLOBAL,LDSGTMXX01,2030,52694.444444444445
GLOBAL,LDSGTMXX01,2031,52694.444444444445
GLOBAL,LDSGTMXX01,2032,52694.444444444445
GLOBAL,LDSGTMXX01,2033,52694.444444444445
GLOBAL,LDSGTMXX01,2034,52694.444444444445
GLOBAL,LDSGTMXX01,2035,52694.444444444445
GLOBAL,LDSGTMXX01,2036,52694.444444444445
GLOBAL,LDSGTMXX01,2037,52694.444444444445
GLOBAL,LDSGTMXX01,2038,52694.444444444445
GLOBAL,LDSGTMXX01,2039,52694.444444444445
GLOBAL,LDSGTMXX01,2040,52694.444444444445
GLOBAL,LDSGTMXX01,2041,52694.444444444445
GLOBAL,LDSGTMXX01,2042,52694.444444444445
GLOBAL,LDSGTMXX01,2043,52694.444444444445
GLOBAL,LDSGTMXX01,2044,52694.444444444445
GLOBAL,LDSGTMXX01,2045,52694.444444444445
GLOBAL,LDSGTMXX01,2046,52694.444444444445
GLOBAL,LDSGTMXX01,2047,52694.444444444445
GLOBAL,LDSGTMXX01,2048,52694.444444444445
GLOBAL,LDSGTMXX01,2049,52694.444444444445
GLOBAL,LDSGTMXX01,2050,52694.444444444445
GLOBAL,LDSHNDXX01,2023,52694.444444444445
GLOBAL,LDSHNDXX01,2024,52694.444444444445
GLOBAL,LDSHNDXX01,2025,52694.444444444445
GLOBAL,LDSHNDXX01,2026,52694.444444444445
GLOBAL,LDSHNDXX01,2027,52694.444444444445
GLOBAL,LDSHNDXX01,2028,52694.444444444445
GLOBAL,LDSHNDXX01,2029,52694.444444444445
