# THE SWAPPABLE INPUT of the dispatch-floor pipeline. write_floors.py,
# input_comparison_report and test_outputs.py read floors from THIS FILE
# ONLY. Floors the full fossil fleet (relac_io.nonren_floor_techs), on a
# residual+forced basis, 2027-2050 only (2023-2026 frozen). COMMITTED
# scenarios (OPT,VGB) use a flat plan-grounded/historical CF; PERMISSIVE
# scenarios (BAU,INV) start at the committed plan-grounded/historical CF
# and decline after HOLD_UNTIL=2030 to KEEP_WARM=0.05 by 2050. To change
# a CF: edit PLAN_GROUNDED / CF_BY_FUEL_FALLBACK
# in make_candidates.py and re-run it, then re-run write_floors.py.
Scenario,TECHNOLOGY,country,fuel,YEAR,fleet_GW,forced_GW,residual_GW,contracted_CF,cf_source,cf_quality,floor_PJ,profile,status,commissioning_year
BAU,PWRCOADOMXX,DOM,COA,2042,1.064,0.0,1.064,0.31,plan_grounded,grounded,10.4018,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2043,1.064,0.0,1.064,0.2775,plan_grounded,grounded,9.3113,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2044,1.064,0.0,1.064,0.245,plan_grounded,grounded,8.2208,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2045,1.064,0.0,1.064,0.2125,plan_grounded,grounded,7.1303,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2046,1.064,0.0,1.064,0.18,plan_grounded,grounded,6.0398,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2047,1.064,0.0,1.064,0.1475,plan_grounded,grounded,4.9493,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2048,1.064,0.0,1.064,0.115,plan_grounded,grounded,3.8587,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2049,1.064,0.0,1.064,0.0825,plan_grounded,grounded,2.7682,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOADOMXX,DOM,COA,2050,1.064,0.0,1.064,0.05,plan_grounded,grounded,1.6777,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2027,0.5282,0.0,0.5282,0.5,plan_grounded,grounded,8.3287,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2028,0.5282,0.0,0.5282,0.5,plan_grounded,grounded,8.3287,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2029,0.5282,0.0,0.5282,0.5,plan_grounded,grounded,8.3287,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2030,0.5282,0.0,0.5282,0.5,plan_grounded,grounded,8.3287,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2031,0.5282,0.0,0.5282,0.4775,plan_grounded,grounded,7.9539,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2032,0.5282,0.0,0.5282,0.455,plan_grounded,grounded,7.5791,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2033,0.5282,0.0,0.5282,0.4325,plan_grounded,grounded,7.2043,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2034,0.5282,0.0,0.5282,0.41,plan_grounded,grounded,6.8295,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2035,0.5282,0.0,0.5282,0.3875,plan_grounded,grounded,6.4547,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2036,0.5282,0.0,0.5282,0.365,plan_grounded,grounded,6.0799,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2037,0.5282,0.0,0.5282,0.3425,plan_grounded,grounded,5.7051,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2038,0.5282,0.0,0.5282,0.32,plan_grounded,grounded,5.3303,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2039,0.5282,0.0,0.5282,0.2975,plan_grounded,grounded,4.9556,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2040,0.5282,0.0,0.5282,0.275,plan_grounded,grounded,4.5808,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2041,0.5282,0.0,0.5282,0.2525,plan_grounded,grounded,4.206,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2042,0.5282,0.0,0.5282,0.23,plan_grounded,grounded,3.8312,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2043,0.5282,0.0,0.5282,0.2075,plan_grounded,grounded,3.4564,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2044,0.5282,0.0,0.5282,0.185,plan_grounded,grounded,3.0816,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2045,0.5282,0.0,0.5282,0.1625,plan_grounded,grounded,2.7068,PERMISSIVE,CALIBRATED - pending PI sign-off,
BAU,PWRCOAGTMXX,GTM,COA,2046,0.5282,0.0,0.5282,0.14,plan_grounded,grounded,2.332,PERMISSIVE,CALIBRATED - pending PI sign-off,
