Model;Scenario1;Technology Tipo (grupos);Technology Tipo de Fuente;Años;Capital Investment;Fixed Cost;Total Capacity Annual;Variable Cost
SieLAC;NDC+ELC;Generación;No Renovable;2041;;631.1012382845586;10.51835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2042;;631.1012382845586;10.51835397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2043;;626.1212382845587;10.435353971409311;
SieLAC;NDC+ELC;Generación;No Renovable;2044;;624.3212382845586;10.40535397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2045;;624.3212382845586;10.40535397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2046;;624.3212382845586;10.40535397140931;
SieLAC;NDC+ELC;Generación;No Renovable;2047;422.48807286433527;608.7470012616475;10.14578335436079;
SieLAC;NDC+ELC;Generación;No Renovable;2048;;608.7470012616475;10.14578335436079;
SieLAC;NDC+ELC;Generación;No Renovable;2049;;608.7470012616475;10.14578335436079;
SieLAC;NDC+ELC;Generación;No Renovable;2050;;608.7470012616475;10.14578335436079;
SieLAC;NDC+ELC;Generación;Nuclear;2023;;918.0500000000002;5.353;
SieLAC;NDC+ELC;Generación;Nuclear;2024;;918.0500000000002;5.353;
SieLAC;NDC+ELC;Generación;Nuclear;2025;;918.0500000000002;5.353;
SieLAC;NDC+ELC;Generación;Nuclear;2026;;918.0500000000002;5.353;
SieLAC;NDC+ELC;Generación;Nuclear;2027;;918.0500000000002;5.353;
SieLAC;NDC+ELC;Generación;Nuclear;2028;6753.6;1122.0500000000002;6.553000000000001;
SieLAC;NDC+ELC;Generación;Nuclear;2029;7907.34;1360.9;7.958;
SieLAC;NDC+ELC;Generación;Nuclear;2030;;1360.9;7.958;
SieLAC;NDC+ELC;Generación;Nuclear;2031;;1360.9;7.958;
SieLAC;NDC+ELC;Generación;Nuclear;2032;192.3570235084556;1365.9471511206038;7.986840863546307;
SieLAC;NDC+ELC;Generación;Nuclear;2033;454.3982419334672;1377.945776877063;8.055404439297503;
SieLAC;NDC+ELC;Generación;Nuclear;2034;439.25436748633655;1389.6188489644876;8.1221077083685;
SieLAC;NDC+ELC;Generación;Nuclear;2035;434.1341890374927;1401.2302631600496;8.188458646628854;
SieLAC;NDC+ELC;Generación;Nuclear;2036;422.9053891904173;1412.6147763135573;8.25351300750604;
SieLAC;NDC+ELC;Generación;Nuclear;2037;415.85927962925706;1423.8827560514446;8.317901463151113;
SieLAC;NDC+ELC;Generación;Nuclear;2038;410.971819204158;1435.091544213144;8.381951681217965;
SieLAC;NDC+ELC;Generación;Nuclear;2039;407.81973459109486;1446.288000796471;8.44593143312269;
SieLAC;NDC+ELC;Generación;Nuclear;2040;415.18141276611647;1457.7625344720977;8.511500196983416;
SieLAC;NDC+ELC;Generación;Nuclear;2041;418.4163028709584;1469.3264720909256;8.577579840519574;
SieLAC;NDC+ELC;Generación;Nuclear;2042;419.8664260214032;1480.930487339464;8.643888499082651;
SieLAC;NDC+ELC;Generación;Nuclear;2043;430.1734551830353;1492.8193620484076;8.7118249259909;
SieLAC;NDC+ELC;Generación;Nuclear;2044;436.643235392716;1504.887044643753;8.780783112250017;
SieLAC;NDC+ELC;Generación;Nuclear;2045;606.0629739752513;1522.0594021266675;8.879745585464956;
SieLAC;NDC+ELC;Generación;Nuclear;2046;901.9880150955945;1548.148670677402;9.031120994949761;
SieLAC;NDC+ELC;Generación;Nuclear;2047;897.5790600770604;1574.0865955284244;9.181573297710681;
SieLAC;NDC+ELC;Generación;Nuclear;2048;904.8047589943633;1600.2283966030259;9.333198862071043;
SieLAC;NDC+ELC;Generación;Nuclear;2049;923.3114562730077;1626.8928804352167;9.4878333315543;
SieLAC;NDC+ELC;Generación;Nuclear;2050;943.9045720528873;1654.162668600093;9.645998155760203;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2023;3875.2504943628333;1040.9301422432418;49.56810201158294;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2024;523.3024111755088;1049.7925217873428;49.99012008511157;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2025;1513.5305507191158;1075.4248940172633;51.21070923891731;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2026;274.10736405492673;1080.067034860129;51.431763564768055;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2027;1162.7877974093308;993.0143088485131;47.28639565945301;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2028;744.0;995.5343088485129;47.406395659453004;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2029;377.79971747400015;999.11432987025;47.57687285096429;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2030;615.060038117706;1009.5306692254694;48.07288901073664;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2031;150.42803462516784;1009.3692407796053;48.06520194188597;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2032;148.16712781326984;994.1125227828944;47.338691561090215;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2033;195.0023039232245;997.4149811557878;47.49595148360895;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2034;72.59476872117017;932.2214086905818;44.39149565193247;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2035;74.18723351911613;933.4778053872765;44.45132406606079;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2036;75.78952834667857;934.7613377221799;44.51244465343714;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2037;77.39182317424155;936.0720056952921;44.57485741406153;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2038;78.99411800180496;933.1888093066129;44.437562347933955;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2039;275.9588361019297;934.2923057244683;44.49010979640325;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2040;402.1334527013553;941.1026303266686;44.8144109679366;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2041;83.82066254372593;942.5221738052318;44.882008276439606;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2042;85.42295737128931;943.9688529220035;44.95089775819065;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2043;87.02033718404155;945.4425844388301;45.0210754494681;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2044;118.37280198199018;946.9432851175574;45.09253738655035;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2045;90.83802308744461;948.4816709924254;45.16579385678216;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2046;101.76538160946707;950.2051169712954;45.24786271291883;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2047;118.58456228406749;952.213403913203;45.34349542443824;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2048;138.72629296919922;954.5628008102619;45.45537146715533;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2049;131.46190108226673;956.7891717156873;45.56138912931845;
SieLAC;NDC+ELC;Generación;Térmica no renovable;2050;129.69741076602963;958.9856601238218;45.665983815420084;
SieLAC;NDC+ELC;Interconexiones;No generacion;2023;;37.5971616;21.702;125.17578921748625
SieLAC;NDC+ELC;Interconexiones;No generacion;2024;;37.5971616;21.702;67.52405873525484
SieLAC;NDC+ELC;Interconexiones;No generacion;2025;;37.5971616;21.702;66.8397841781355
SieLAC;NDC+ELC;Interconexiones;No generacion;2026;189.73885377758023;38.77494908788086;22.305560443960456;179.97238686815467
SieLAC;NDC+ELC;Interconexiones;No generacion;2027;394.2409320845348;41.34531020076425;23.594971839749142;182.11896456721854
SieLAC;NDC+ELC;Interconexiones;No generacion;2028;375.4573676365126;42.65940497665672;24.237898775721455;225.08472925338717
SieLAC;NDC+ELC;Interconexiones;No generacion;2029;546.8635618840618;45.32120579778445;25.762027139733153;291.53135175532066
SieLAC;NDC+ELC;Interconexiones;No generacion;2030;29.502988572533443;50.42550160130725;28.245213850976235;221.63007860840665
SieLAC;NDC+ELC;Interconexiones;No generacion;2031;3798.970148782185;64.21125183158962;34.350054161135226;499.7623503441292
SieLAC;NDC+ELC;Interconexiones;No generacion;2032;4584.3732824099725;81.78350736922121;42.01515866705127;782.5405358611135
SieLAC;NDC+ELC;Interconexiones;No generacion;2033;5620.09041665915;102.44713998221742;51.23318171413327;1186.7601570288218
SieLAC;NDC+ELC;Interconexiones;No generacion;2034;6923.857415804493;126.82004933146692;62.26138388933796;1566.486124512344
SieLAC;NDC+ELC;Interconexiones;No generacion;2035;10187.58206461184;162.6744087915254;78.50628385006641;2174.8111338121353
