# Upstream-format rows (REGION,TECHNOLOGY,YEAR,VALUE per otoole convention).
# NOT wired into t1_confection/OG_csvs_inputs -- for later manual promotion only.
scenario,REGION,TECHNOLOGY,YEAR,VALUE,change
OPT,GLOBAL,PWRNGSSLVXX,2032,5.0458,new
OPT,GLOBAL,PWRNGSSLVXX,2033,5.0458,new
OPT,GLOBAL,PWRNGSSLVXX,2034,5.0458,new
OPT,GLOBAL,PWRNGSSLVXX,2035,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2036,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2037,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2038,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2039,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2040,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2041,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2042,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2043,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2044,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2045,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2046,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2047,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2048,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2049,9.4608,new
OPT,GLOBAL,PWRNGSSLVXX,2050,9.4608,new
OPT,GLOBAL,PWROILCRIXX,2028,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2029,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2030,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2031,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2032,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2033,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2034,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2035,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2036,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2037,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2038,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2039,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2040,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2041,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2042,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2043,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2044,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2045,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2046,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2047,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2048,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2049,2.3652,new
OPT,GLOBAL,PWROILCRIXX,2050,2.3652,new
OPT,GLOBAL,PWROILHNDXX,2029,0.3154,new
OPT,GLOBAL,PWROILHNDXX,2030,0.3154,new
OPT,GLOBAL,PWROILHNDXX,2031,0.6307,new
OPT,GLOBAL,PWROILHNDXX,2032,0.9461,new
OPT,GLOBAL,PWROILHNDXX,2033,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2034,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2035,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2036,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2037,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2038,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2039,1.2614,new
OPT,GLOBAL,PWROILHNDXX,2040,1.2614,new
